Mutational_Signature	Proposed_etiology	Details	
S1	Deamination of 5-methylcytosine	An endogenous mutational process initiated by spontaneous or enzymatica deamination of 5-mehylcytosine to thymine which generates G:T mistaches in double strand DNA. Failure to detect and remove these mistaches prior to DNA replication results in fixation of the T substitution for C.	
S2	APOBEC activity	"Attributed to activity of the AID/ APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably reponsible for most mutation in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5'  to the mutated cytosine, see 1,536 mutation classification signature extraction). Signature SBS2 mutations may be genersted directly by DNA replication across uracil or by error prone polymerases replicating across abasic sites generated by base excision repair remobal of uracil."	 
S3	Defective HR;  INDEL driven	Defective homologous recombination-based DNA damage repair which manifests predominantly as small indels and genome rearrangements due to abnormal double strand break repair but also in the form of this base substitution signature.	
S4	Tobacco smoking	"Associated with tobacco smoking. Its profile is similar to the mutational spectrum observed in experimental systems exposed to tobacco carcinogens such as benzo[a]pyrene. Signature 4 is, therefore, likely due to direct DNA damage by tobacco smoke mutagens."	
S5	Unknown	Unknown. Signature SBS5 mutational burden is enriched in bladder cancer samples with ERCC5 mutations. The rate of signature SBS5 can be elevated due to tobacco somoking in many cancer types.	
S6	Defective DNA mismatch repair	Signature SBS6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours.	
S7	Ultraviplet light exposure	"Signature SBS7 are found in cancers of the skin from sun exposed areas, therefore, these are likely to be due to exposure to ultraviolet light. Signature SBS 7 may possibly be the consequence of just one of the two major known UV photoproducts, cyclobutane pyrimidine dimers or 6-4 photoproducts, although there is no evidence for this hypothesis and it is unclear which of these photoproducts may be responsible."	
S8	Unknown	Unknown.	
S9	Polymerase eta activity	Attributed to mutations induced durign replication by polymerase eta across lesions induced by activation induced cytidine deaminase as part of somatic hypermutation.	
S10	Polymerase epsilon mutation	Polymerase epsilon exonuclease domain mutations.	
S11	Temozolomide treatment	Signature SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and Signature SBS11 mutations.	
S12	Unknown	Unknown.	
S13	APOBEC activity	"Attributed to activity of the AID/ APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably reponsible for most mutation in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5'  to the mutated cytosine, see 1,536 mutation classification signature extraction). Signature SBS2 mutations may be genersted directly by DNA replication across uracil or by error prone polymerases replicating across abasic sites generated by base excision repair remobal of uracil."	
S14	Defective DNA mismatch repair and Polymerase ? mutation	Defective DNA mismatch repair.	
